step,total_loss,message_loss,image_loss,video
1,2.527255,2.527177,0.000015,1.mp4
2,1.531601,1.531532,0.000014,1.mp4
3,1.660725,1.660590,0.000027,1.mp4
4,2.399033,2.398793,0.000048,1.mp4
5,2.420498,2.420096,0.000080,1.mp4
6,1.708362,1.707733,0.000126,1.mp4
7,1.966172,1.965129,0.000209,1.mp4
8,1.796452,1.795065,0.000277,1.mp4
9,1.979507,1.977481,0.000405,1.mp4
10,0.587799,0.584996,0.000561,1.mp4
11,0.753191,0.749268,0.000785,1.mp4
12,1.177560,1.171230,0.001266,1.mp4
13,1.409265,1.400668,0.001719,1.mp4
14,0.934144,0.921687,0.002491,1.mp4
15,0.989339,0.973616,0.003145,1.mp4
16,0.936247,0.910870,0.005075,1.mp4
17,0.884156,0.849005,0.007030,1.mp4
18,1.175490,1.126901,0.009718,1.mp4
19,0.975784,0.906265,0.013904,1.mp4
20,1.151333,1.060824,0.018102,1.mp4
