condition,bit_index,message_A,message_B,decoded,matches_A,matches_B
A_only,0,0,1,0,1,0
A_only,1,0,1,0,1,0
A_only,2,0,1,0,1,0
A_only,3,0,1,0,1,0
A_only,4,0,1,0,1,0
A_only,5,0,1,0,1,0
A_only,6,1,0,1,1,0
A_only,7,1,0,1,1,0
A_only,8,0,1,0,1,0
A_only,9,0,1,0,1,0
A_only,10,0,1,0,1,0
A_only,11,0,1,0,1,0
A_only,12,1,0,1,1,0
A_only,13,0,1,0,1,0
A_only,14,0,1,0,1,0
A_only,15,1,0,1,1,0
A_only,16,0,1,0,1,0
A_only,17,1,0,1,1,0
A_only,18,1,0,1,1,0
A_only,19,1,0,1,1,0
A_only,20,1,0,1,1,0
A_only,21,0,1,0,1,0
A_only,22,0,1,0,1,0
A_only,23,0,1,0,1,0
A_only,24,1,0,1,1,0
A_only,25,1,0,1,1,0
A_only,26,0,1,0,1,0
A_only,27,1,0,1,1,0
A_only,28,1,0,1,1,0
A_only,29,0,1,0,1,0
A_only,30,1,0,1,1,0
A_only,31,1,0,1,1,0
A_only,32,1,0,1,1,0
A_only,33,0,1,0,1,0
A_only,34,0,1,0,1,0
A_only,35,1,0,1,1,0
A_only,36,1,0,1,1,0
A_only,37,1,0,1,1,0
A_only,38,1,0,1,1,0
A_only,39,1,0,1,1,0
A_only,40,0,1,0,1,0
A_only,41,1,0,1,1,0
A_only,42,0,1,0,1,0
A_only,43,0,1,0,1,0
A_only,44,0,1,0,1,0
A_only,45,0,1,0,1,0
A_only,46,0,1,0,1,0
A_only,47,1,0,1,1,0
A_only,48,1,0,1,1,0
A_only,49,1,0,1,1,0
A_only,50,1,0,1,1,0
A_only,51,0,1,0,1,0
A_only,52,0,1,0,1,0
A_only,53,1,0,1,1,0
A_only,54,0,1,0,1,0
A_only,55,1,0,1,1,0
A_only,56,1,0,1,1,0
A_only,57,1,0,1,1,0
A_only,58,1,0,1,1,0
A_only,59,0,1,0,1,0
A_only,60,0,1,0,1,0
A_only,61,1,0,1,1,0
A_only,62,1,0,1,1,0
A_only,63,1,0,1,1,0
A_only,64,0,1,0,1,0
A_only,65,0,1,0,1,0
A_only,66,0,1,0,1,0
A_only,67,1,0,1,1,0
A_only,68,0,1,0,1,0
A_only,69,0,1,0,1,0
A_only,70,1,0,1,1,0
A_only,71,0,1,0,1,0
A_only,72,1,0,1,1,0
A_only,73,0,1,0,1,0
A_only,74,0,1,0,1,0
A_only,75,0,1,0,1,0
A_only,76,1,0,1,1,0
A_only,77,1,0,1,1,0
A_only,78,1,0,1,1,0
A_only,79,1,0,1,1,0
A_only,80,1,0,1,1,0
A_only,81,0,1,0,1,0
A_only,82,1,0,1,1,0
A_only,83,0,1,0,1,0
A_only,84,0,1,0,1,0
A_only,85,1,0,1,1,0
A_only,86,0,1,0,1,0
A_only,87,0,1,0,1,0
A_only,88,1,0,1,1,0
A_only,89,0,1,0,1,0
A_only,90,0,1,0,1,0
A_only,91,1,0,1,1,0
A_only,92,1,0,1,1,0
A_only,93,0,1,0,1,0
A_only,94,0,1,0,1,0
A_only,95,0,1,0,1,0
B_only,0,0,1,1,0,1
B_only,1,0,1,1,0,1
B_only,2,0,1,1,0,1
B_only,3,0,1,1,0,1
B_only,4,0,1,1,0,1
B_only,5,0,1,1,0,1
B_only,6,1,0,0,0,1
B_only,7,1,0,0,0,1
B_only,8,0,1,1,0,1
B_only,9,0,1,1,0,1
B_only,10,0,1,1,0,1
B_only,11,0,1,1,0,1
B_only,12,1,0,0,0,1
B_only,13,0,1,1,0,1
B_only,14,0,1,1,0,1
B_only,15,1,0,0,0,1
B_only,16,0,1,1,0,1
B_only,17,1,0,0,0,1
B_only,18,1,0,0,0,1
B_only,19,1,0,0,0,1
B_only,20,1,0,0,0,1
B_only,21,0,1,1,0,1
B_only,22,0,1,1,0,1
B_only,23,0,1,1,0,1
B_only,24,1,0,0,0,1
B_only,25,1,0,0,0,1
B_only,26,0,1,1,0,1
B_only,27,1,0,0,0,1
B_only,28,1,0,0,0,1
B_only,29,0,1,1,0,1
B_only,30,1,0,0,0,1
B_only,31,1,0,0,0,1
B_only,32,1,0,0,0,1
B_only,33,0,1,1,0,1
B_only,34,0,1,1,0,1
B_only,35,1,0,0,0,1
B_only,36,1,0,0,0,1
B_only,37,1,0,0,0,1
B_only,38,1,0,0,0,1
B_only,39,1,0,0,0,1
B_only,40,0,1,1,0,1
B_only,41,1,0,0,0,1
